method,MAP,MRR,mean_precision_at_5,mean_recall_at_5,mean_f1,mean_ndcg_at_5,mean_ndcg_at_10
content_only,0.3585813492063492,0.9375,0.47500000000000003,0.3215379901960784,0.3899652978600347,0.5778180894263334,0.5624955202388716
pagerank_only,0.07828402194211018,0.42291666666666666,0.2,0.11151960784313725,0.17973553006447743,0.20499317317784574,0.21442697028000063
hits_only,0.08054899042950514,0.4001488095238095,0.15000000000000002,0.0663296568627451,0.17439364972259708,0.167395025659202,0.20530035614526546
hybrid_pagerank,0.23229523290797802,0.7916666666666666,0.375,0.2269199346405229,0.3451316592763961,0.4158837708977624,0.4378796476837528
hybrid_hits,0.16623604302832243,0.8333333333333334,0.25,0.14619076797385622,0.24207085555769767,0.3404386397865581,0.3567641247541494
