doc_id,term,tfidf_score
doc_00001,ai,0.6484745393892858
doc_00001,learning,0.14245544175591246
doc_00001,intelligence,0.14147254872738885
doc_00001,problem,0.13528738111459046
doc_00001,machine,0.127221380288453
doc_00001,human,0.11992264346820027
doc_00001,search,0.11321905735740072
doc_00001,agent,0.10944304704857005
doc_00001,decision,0.10944304704857005
doc_00001,data,0.10904410632599211
doc_00002,learning,0.6003705391823998
doc_00002,machine,0.32392838418605596
doc_00002,data,0.24097707645540922
doc_00002,algorithm,0.18212133152028526
doc_00002,model,0.16719031086380462
doc_00002,training,0.15980967137745772
doc_00002,decision,0.09799988778132124
doc_00002,supervised,0.09024472910527413
doc_00002,rule,0.08989294014981997
doc_00002,network,0.08783364395675769
doc_00003,deep,0.46088308779239645
doc_00003,network,0.3278006784905279
doc_00003,learning,0.32134063048154676
doc_00003,neural,0.25869268260015
doc_00003,layer,0.2083444095499874
doc_00003,image,0.17805576537251344
doc_00003,recognition,0.1500785320397945
doc_00003,training,0.1191565070087513
doc_00003,speech,0.11868109309542292
doc_00003,rnn,0.11701710084383281
doc_00004,network,0.4879061194723532
doc_00004,neural,0.4469262784114221
doc_00004,neuron,0.35427589921772995
doc_00004,layer,0.21989238321565116
doc_00004,artificial,0.1673255790084761
doc_00004,signal,0.1583969838740454
doc_00004,biological,0.13723590810834274
doc_00004,brain,0.13307029334685813
doc_00004,cell,0.11809196640590999
doc_00004,connected,0.10459438326858485
doc_00005,language,0.3496386633381129
doc_00005,nlp,0.3384800153652501
doc_00005,word,0.2825103051787111
doc_00005,text,0.23904718130506325
doc_00005,sentence,0.20878020518196966
doc_00005,natural,0.18889368372594903
doc_00005,semantics,0.17750221363235902
doc_00005,semantic,0.1553210738677026
doc_00005,parsing,0.1537248957053691
doc_00005,task,0.1477699664144694
doc_00006,image,0.5395450485754659
doc_00006,vision,0.5136122558340735
doc_00006,computer,0.27794006448674746
doc_00006,processing,0.14856236174504336
doc_00006,object,0.1221828761471257
doc_00006,system,0.11923693437037768
doc_00006,sensor,0.10277563212921932
doc_00006,camera,0.1010027117294155
doc_00006,isbn,0.09804506831698032
doc_00006,application,0.09509713209896532
doc_00007,robot,0.6968666210326316
doc_00007,robotics,0.1993526253119215
doc_00007,effector,0.13554813852684033
doc_00007,sensor,0.1261894749165597
doc_00007,control,0.11403867793676037
doc_00007,motor,0.1070224403891044
doc_00007,force,0.09954477715341226
doc_00007,robotic,0.09954477715341226
doc_00007,human,0.09850707613268986
doc_00007,actuator,0.09384704099965797
doc_00008,voice,0.5692365551861023
doc_00008,ai,0.472731512528313
doc_00008,character,0.2082761132793894
doc_00008,speech,0.16021239483029956
