doc_id,similarity,source_doc_id
doc_00010,0.09166039358640227,doc_00024
doc_00031,0.38523445903111203,doc_00025
doc_00002,0.09364254816200093,doc_00025
doc_00001,0.08035401388786541,doc_00025
doc_00001,0.5088618455663111,doc_00026
doc_00032,0.436580902443151,doc_00026
doc_00044,0.42028905935170274,doc_00026
doc_00001,0.09547743810468895,doc_00027
doc_00005,0.09277829929628231,doc_00027
doc_00014,0.06870923902894166,doc_00027
doc_00035,0.36450277060599967,doc_00028
doc_00006,0.3197728518265916,doc_00028
doc_00040,0.31206843303615883,doc_00028
doc_00023,0.4989437503136373,doc_00029
doc_00016,0.3128030560555496,doc_00029
doc_00044,0.11398279104489822,doc_00029
doc_00013,0.08165891384649064,doc_00030
doc_00001,0.07056167254044025,doc_00030
doc_00044,0.05429679930919174,doc_00030
doc_00025,0.38523445903111203,doc_00031
doc_00006,0.08973945857995975,doc_00031
doc_00027,0.06349923438333659,doc_00031
doc_00001,0.6268396366360326,doc_00032
doc_00038,0.5150206082359354,doc_00032
doc_00044,0.4836580842334561,doc_00032
doc_00050,0.5561873932466441,doc_00033
doc_00004,0.5173546062439568,doc_00033
doc_00039,0.43063015877650945,doc_00033
doc_00001,0.5631414406848807,doc_00034
doc_00044,0.4292589812602659,doc_00034
doc_00032,0.41786874211432645,doc_00034
doc_00040,0.3723587912683585,doc_00035
doc_00046,0.36453880263118016,doc_00035
doc_00028,0.36450277060599967,doc_00035
doc_00007,0.08233772900555092,doc_00036
doc_00044,0.0811743813771729,doc_00036
doc_00012,0.07317225641305103,doc_00036
doc_00017,0.25580436787320004,doc_00037
doc_00003,0.13667194256478474,doc_00037
doc_00002,0.13509177032715222,doc_00037
doc_00001,0.6002934187749893,doc_00038
doc_00032,0.5150206082359354,doc_00038
doc_00044,0.5116628021922291,doc_00038
doc_00033,0.43063015877650945,doc_00039
doc_00043,0.3834017912328636,doc_00039
doc_00015,0.3237210027719703,doc_00039
doc_00046,0.662870402469546,doc_00040
doc_00006,0.4623157289608097,doc_00040
doc_00011,0.41973993628262773,doc_00040
doc_00007,0.13364838853136118,doc_00041
doc_00014,0.06289675427023242,doc_00041
doc_00009,0.0542508631831016,doc_00041
doc_00039,0.2333637310036709,doc_00042
doc_00046,0.15481033032054456,doc_00042
doc_00043,0.14257142328169198,doc_00042
doc_00039,0.3834017912328636,doc_00043
doc_00033,0.29698694100831324,doc_00043
doc_00003,0.23126702737384558,doc_00043
doc_00001,0.6840878487803385,doc_00044
doc_00008,0.528915053778705,doc_00044
doc_00038,0.5116628021922291,doc_00044
doc_00050,0.11915682592507994,doc_00045
doc_00001,0.09794379122191345,doc_00045
doc_00004,0.09310126921553404,doc_00045
doc_00040,0.662870402469546,doc_00046
doc_00035,0.36453880263118016,doc_00046
doc_00006,0.3573305836570183,doc_00046
doc_00044,0.46488014029387753,doc_00047
doc_00001,0.44602649498741165,doc_00047
doc_00006,0.3406373147844868,doc_00047
doc_00018,0.5721614157285807,doc_00048
doc_00024,0.18349421402517926,doc_00048
doc_00010,0.0886103848297542,doc_00048
doc_00044,0.4796533273405924,doc_00049
doc_00001,0.38603831559577945,doc_00049
doc_00013,0.30462974931830744,doc_00049
doc_00004,0.7567363807474994,doc_00050
doc_00033,0.5561873932466441,doc_00050
doc_00003,0.417538219623186,doc_00050
