doc_id,similarity,source_doc_id
doc_00044,0.6840878487803385,doc_00001
doc_00032,0.6268396366360326,doc_00001
doc_00038,0.6002934187749893,doc_00001
doc_00003,0.5492294988241512,doc_00002
doc_00001,0.46295997774745035,doc_00002
doc_00004,0.2997942496537654,doc_00002
doc_00002,0.5492294988241512,doc_00003
doc_00004,0.519416671796429,doc_00003
doc_00050,0.417538219623186,doc_00003
doc_00050,0.7567363807474994,doc_00004
doc_00003,0.519416671796429,doc_00004
doc_00033,0.5173546062439568,doc_00004
doc_00001,0.27979736896672375,doc_00005
doc_00003,0.27552834017497685,doc_00005
doc_00002,0.267236998401298,doc_00005
doc_00040,0.4623157289608097,doc_00006
doc_00046,0.3573305836570183,doc_00006
doc_00047,0.3406373147844868,doc_00006
doc_00012,0.32842698447786434,doc_00007
doc_00001,0.24100185322861675,doc_00007
doc_00038,0.2212265783729564,doc_00007
doc_00044,0.528915053778705,doc_00008
doc_00001,0.44934898331467993,doc_00008
doc_00038,0.3911989471945916,doc_00008
doc_00050,0.30123687015701867,doc_00009
doc_00033,0.23320856944796772,doc_00009
doc_00004,0.1393022855698537,doc_00009
doc_00001,0.1906301626974327,doc_00010
doc_00044,0.15971869837110955,doc_00010
doc_00047,0.14226930888333872,doc_00010
doc_00040,0.41973993628262773,doc_00011
doc_00046,0.32957258902114445,doc_00011
doc_00006,0.26217528583445215,doc_00011
doc_00007,0.32842698447786434,doc_00012
doc_00001,0.10200416588822939,doc_00012
doc_00038,0.10004165433153372,doc_00012
doc_00049,0.30462974931830744,doc_00013
doc_00044,0.11842322455642205,doc_00013
doc_00001,0.10801807340013178,doc_00013
doc_00005,0.1889990810458691,doc_00014
doc_00002,0.16003989372424146,doc_00014
doc_00001,0.15981457467777782,doc_00014
doc_00033,0.3737285436507367,doc_00015
doc_00039,0.3237210027719703,doc_00015
doc_00043,0.19334569963644893,doc_00015
doc_00023,0.34837500221195894,doc_00016
doc_00029,0.3128030560555496,doc_00016
doc_00040,0.2534754378713463,doc_00016
doc_00023,0.2908258355561617,doc_00017
doc_00037,0.25580436787320004,doc_00017
doc_00016,0.1631922715058072,doc_00017
doc_00048,0.5721614157285807,doc_00018
doc_00024,0.4964079927077818,doc_00018
doc_00011,0.15963271335660226,doc_00018
doc_00001,0.0768399143543738,doc_00019
doc_00044,0.059452416587816796,doc_00019
doc_00025,0.05476650783661214,doc_00019
doc_00026,0.38223787572296614,doc_00020
doc_00001,0.3577828689685585,doc_00020
doc_00044,0.34940595516613926,doc_00020
doc_00007,0.12021244510284256,doc_00021
doc_00002,0.0975186449330991,doc_00021
doc_00043,0.09296295339518619,doc_00021
doc_00029,0.4989437503136373,doc_00023
doc_00016,0.34837500221195894,doc_00023
doc_00017,0.2908258355561617,doc_00023
doc_00018,0.4964079927077818,doc_00024
doc_00048,0.18349421402517926,doc_00024
