model,cv_folds,mean_accuracy,std_accuracy,mean_macro_f1,std_macro_f1
MultinomialNB,4,0.6330128205128205,0.09058386385296524,0.5146258503401361,0.09327979365191484
LogisticRegression,4,0.5913461538461539,0.06053790630616699,0.47738095238095235,0.08023949383537106
